ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07747;2023-03-15T22:00:00+01:00;101800;50.0;0;190;1.6;284.65;278.25;65;60000.0;0;;;;0;;;;;101270.0;;;-40.0;;;;;282.85;;;2.7;4.6;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En hausse, puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;11.5;;;;;9.700000000000045;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;3
07747;2023-03-25T01:00:00+01:00;102070;60.0;3;250;2.2;285.25;277.75;60;60000.0;0;;;;0;;;;;101540.0;;;740.0;;;;;282.95;;;5.1;5.1;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;12.100000000000023;;;;;9.800000000000011;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;3
07747;2023-03-25T22:00:00+01:00;101700;-80.0;8;230;3.3;284.55;282.25;86;42320.0;0;;;;0;;;;;101170.0;;;-310.0;;;;;284.25;;;4.3;4.3;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;11.400000000000034;;;;;11.100000000000023;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;3
07747;2023-03-26T05:00:00+02:00;101410;-140.0;7;250;0.9;281.55;279.15;85;59440.0;0;;;90.0;7;3720.0;;;;100870.0;;;-680.0;;;;;281.65;;;2.0;3.1;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;7.0;;3720.0;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;8.400000000000034;;;;;8.5;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;3
07747;2023-03-26T17:00:00+02:00;101190;-270.0;6;300;15.7;291.55;276.95;38;15350.0;0;;;;0;;;;;100670.0;;;-650.0;;;;;281.25;;;25.1;25.1;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;18.400000000000034;;;;;8.100000000000023;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;3
07747;2023-03-04T13:00:00+01:00;102080;-120.0;8;310;6.4;285.85;271.55;37;19610.0;0;;;;0;;;;;101550.0;;;220.0;;;;;276.65;;;11.4;13.5;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;12.700000000000045;;;;;3.5;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;3
07747;2023-03-06T01:00:00+01:00;101060;-90.0;6;210;3.1;278.05;272.85;69;19340.0;0;;;;0;;;;;100520.0;;;-880.0;;;;;276.25;;;4.1;4.9;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;4.900000000000034;;;;;3.1000000000000227;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;3
07747;2023-03-14T22:00:00+01:00;101840;140.0;3;300;8.3;285.75;278.45;61;60000.0;0;;;75.0;6;1250.0;;;;101310.0;;;850.0;;;;;283.05;;;14.5;17.7;-10.0;0;0.0;;;0.0;-0.1;0.6;0.6;2.2;;;;;6.0;;1200.0;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;12.600000000000023;;;;;9.900000000000034;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;3
07747;2023-03-18T10:00:00+01:00;101520;70.0;3;90;2.5;285.15;284.05;93;6370.0;50;;;100.0;8;150.0;;;;100990.0;;;10.0;;;;;281.25;;;3.9;5.8;-10.0;2;0.0;;;0.2;0.2;0.2;0.2;0.2;;;;;5.0;;180.0;7.0;;300.0;8.0;;540.0;;;;42.737167, 2.872833;PERPIGNAN;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;Bruine, sans congélation, intermittente, faible au moment de l’observation;12.0;;;;;8.100000000000023;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;3
07747;2023-03-24T13:00:00+01:00;101600;60.0;1;20;2.4;290.85;283.95;64;47770.0;0;;;;1;800.0;;;;101080.0;;;10.0;;;;;285.45;;;4.1;5.1;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;;750.0;5.0;;5700.0;;;;;;;42.737167, 2.872833;PERPIGNAN;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;17.700000000000045;;;;;12.300000000000011;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;3
07747;2023-03-26T01:00:00+01:00;101550;-160.0;7;210;1.4;282.55;279.95;84;56430.0;0;;;;0;;;;;101010.0;;;-530.0;;;;;282.65;;;2.5;3.3;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;9.400000000000034;;;;;9.5;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;3
07747;2023-03-31T17:00:00+02:00;101420;-130.0;5;310;7.9;290.55;281.15;54;19070.0;0;;;100.0;8;1750.0;;;;100900.0;;;-620.0;;;;;283.15;;;16.3;18.7;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;8.0;;1680.0;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse, puis en hausse, la pression atmosphérique est la même ou plus basse que trois heures auparavant;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;17.400000000000034;;;;;10.0;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;3
07747;2023-03-06T07:00:00+01:00;100980;-30.0;6;330;3.4;277.75;272.55;69;16670.0;0;;;;0;;;;;100440.0;;;-770.0;275.35;;283.85;;275.05;;;5.1;5.1;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;4.600000000000023;2.2000000000000455;;10.700000000000045;;1.900000000000034;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;3
07747;2023-03-12T16:00:00+01:00;101680;-30.0;5;300;4.3;296.95;283.65;43;20230.0;0;;;;0;;;;;101170.0;;;540.0;;;;;284.85;;;7.8;13.5;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse, puis en hausse, la pression atmosphérique est la même ou plus basse que trois heures auparavant;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;23.80000000000001;;;;;11.700000000000045;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;3
