ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07630;2023-05-05T20:00:00+02:00;101610;-30.0;7;20;2.5;296.45;286.05;52;19530.0;0;;;;4;1750.0;;;;99880.0;;;-130.0;287.55;;298.45;;288.35;;;5.0;5.1;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;4.0;;1680.0;;;;;;;;;;43.621, 1.378833;TOULOUSE-BLAGNAC;En baisse;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;23.30000000000001;14.400000000000034;;25.30000000000001;;15.200000000000045;43.621;1.378833;151;Blagnac;31069;Toulouse Métropole;243100518;Haute-Garonne;31;Occitanie;76;5
07630;2023-05-06T08:00:00+02:00;101550;20.0;3;130;3.1;288.25;286.25;88;11610.0;0;;;;1;250.0;;;;99770.0;;;-320.0;286.75;;296.45;;288.45;;;5.4;6.8;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;;240.0;;;;;;;;;;43.621, 1.378833;TOULOUSE-BLAGNAC;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;15.100000000000023;13.600000000000023;;23.30000000000001;;15.300000000000011;43.621;1.378833;151;Blagnac;31069;Toulouse Métropole;243100518;Haute-Garonne;31;Occitanie;76;5
07630;2023-05-06T20:00:00+02:00;101290;150.0;3;190;3.4;295.55;286.85;58;44430.0;0;;;90.0;7;3300.0;;;;99560.0;;;-320.0;288.25;;300.65;;288.95;;;5.7;6.8;-10.0;0;0.0;;;-0.1;-0.1;-0.1;-0.1;-0.1;;;;;4.0;;3300.0;6.0;;4200.0;6.0;;5100.0;;8;;43.621, 1.378833;TOULOUSE-BLAGNAC;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;22.400000000000034;15.100000000000023;;27.5;;15.800000000000011;43.621;1.378833;151;Blagnac;31069;Toulouse Métropole;243100518;Haute-Garonne;31;Occitanie;76;5
07630;2023-05-13T02:00:00+02:00;101940;10.0;0;270;4.8;284.05;283.15;94;22520.0;58;;;100.0;8;250.0;;;;100130.0;;;80.0;;;;;285.65;;;6.9;7.9;-10.0;2;0.0;;;0.2;1.8;8.3;12.3;14.9;;;;;1.0;;240.0;8.0;;750.0;;8;;;;;43.621, 1.378833;TOULOUSE-BLAGNAC;En hausse, puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;;Bruine et pluie, faibles;10.900000000000034;;;;;12.5;43.621;1.378833;151;Blagnac;31069;Toulouse Métropole;243100518;Haute-Garonne;31;Occitanie;76;5
07630;2023-05-17T23:00:00+02:00;102100;120.0;1;330;4.1;286.45;277.55;55;43640.0;0;;;;3;5520.0;;;;100300.0;;;-40.0;;;;;285.85;;;5.7;6.8;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;3.0;;5520.0;;;;;;;;;;43.621, 1.378833;TOULOUSE-BLAGNAC;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;13.300000000000011;;;;;12.700000000000045;43.621;1.378833;151;Blagnac;31069;Toulouse Métropole;243100518;Haute-Garonne;31;Occitanie;76;5
07630;2023-05-20T14:00:00+02:00;101430;-110.0;8;310;3.8;292.95;282.25;50;20560.0;0;;;90.0;2;1250.0;;;;99680.0;;;-510.0;;;;;284.75;;;6.4;8.3;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;-0.1;;;;;2.0;;1440.0;5.0;;2760.0;7.0;;4860.0;;;;43.621, 1.378833;TOULOUSE-BLAGNAC;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;19.80000000000001;;;;;11.600000000000023;43.621;1.378833;151;Blagnac;31069;Toulouse Métropole;243100518;Haute-Garonne;31;Occitanie;76;5
07630;2023-05-25T23:00:00+02:00;102020;140.0;3;230;1.2;287.95;283.75;76;5950.0;0;;;90.0;7;1750.0;;;;100230.0;;;420.0;;;;;289.25;;;1.8;2.7;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;3.0;;1860.0;7.0;;2160.0;;;;;;;43.621, 1.378833;TOULOUSE-BLAGNAC;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;14.800000000000011;;;;;16.100000000000023;43.621;1.378833;151;Blagnac;31069;Toulouse Métropole;243100518;Haute-Garonne;31;Occitanie;76;5
07630;2023-05-29T17:00:00+02:00;101150;-140.0;6;40;4.9;300.95;286.85;42;12300.0;0;;;;0;;;;;99460.0;;;160.0;;;;;287.95;;;9.1;9.1;-10.0;0;0.0;;;0.0;0.0;0.0;0.2;0.4;;;;;;;;;;;;;;;;;43.621, 1.378833;TOULOUSE-BLAGNAC;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;27.80000000000001;;;;;14.800000000000011;43.621;1.378833;151;Blagnac;31069;Toulouse Métropole;243100518;Haute-Garonne;31;Occitanie;76;5
07630;2023-06-04T05:00:00+02:00;101470;-30.0;6;140;4.1;290.45;288.65;89;22460.0;0;;;90.0;7;450.0;;;;99710.0;;;160.0;;;;;288.35;;;6.4;6.5;-10.0;0;0.0;;;0.0;0.0;0.0;-0.1;-0.1;;;;;7.0;;330.0;;;;;;;;;;43.621, 1.378833;TOULOUSE-BLAGNAC;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;17.30000000000001;;;;;15.200000000000045;43.621;1.378833;151;Blagnac;31069;Toulouse Métropole;243100518;Haute-Garonne;31;Occitanie;76;6
07630;2023-06-04T14:00:00+02:00;101440;-70.0;8;90;2.0;299.55;287.65;48;26410.0;0;;;;5;250.0;;;;99730.0;;;140.0;;;;;288.35;;;5.1;7.0;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;-0.1;;;;;1.0;;270.0;5.0;;1410.0;5.0;;1920.0;;;;43.621, 1.378833;TOULOUSE-BLAGNAC;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;26.400000000000034;;;;;15.200000000000045;43.621;1.378833;151;Blagnac;31069;Toulouse Métropole;243100518;Haute-Garonne;31;Occitanie;76;6
