X,Y,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_l93,y_l93,ObjectId
1.41807,43.5757,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,PM10,5,8,ug.m-3,journaliere,2023/09/24 00:00:00+00,2023/09/24 23:59:00+00,t,572184,6276463,16
1.39326,43.5616,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Eisenhower Industriel,FR50039,Urbaine,Industrielle,PM10,5,9.6,ug.m-3,journaliere,2023/09/24 00:00:00+00,2023/09/24 23:59:00+00,t,570147,6274936,29
1.46765,43.6431,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Rte Albi Trafic,FR50054,Urbaine,Trafic,PM10,5,8.9,ug.m-3,journaliere,2023/09/24 00:00:00+00,2023/09/24 23:59:00+00,t,576334,6283873,33
1.41518,43.6103,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Port de l Embouchure Trafic,FR50821,Urbaine,Trafic,PM10,5,14.4,ug.m-3,journaliere,2023/09/24 00:00:00+00,2023/09/24 23:59:00+00,t,572027,6280312,36
1.44403,43.5873,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,PM10,5,8.2,ug.m-3,journaliere,2023/09/24 00:00:00+00,2023/09/24 23:59:00+00,t,574306,6277713,41
1.46765,43.6431,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Rte Albi Trafic,FR50054,Urbaine,Trafic,NOX,9,69.4,ug.m-3,journaliere,2023/09/24 00:00:00+00,2023/09/24 23:59:00+00,t,576334,6283873,46
1.46765,43.6431,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Rte Albi Trafic,FR50054,Urbaine,Trafic,NOX,9,130.3,ug.m-3,journaliere,2023/09/25 00:00:00+00,2023/09/25 23:59:00+00,t,576334,6283873,63
1.41518,43.6103,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Port de l Embouchure Trafic,FR50821,Urbaine,Trafic,NOX,9,71.2,ug.m-3,journaliere,2023/09/24 00:00:00+00,2023/09/24 23:59:00+00,t,572027,6280312,65
1.44959,43.574,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Périphérique Trafic,FR50048,Urbaine,Trafic,PM10,5,18.9,ug.m-3,journaliere,2023/09/24 00:00:00+00,2023/09/24 23:59:00+00,t,574726,6276223,66
1.44403,43.5873,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,O3,7,45.5,ug.m-3,journaliere,2023/09/24 00:00:00+00,2023/09/24 23:59:00+00,t,574306,6277713,91
