ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07747;2023-09-03T05:00:00+02:00;102120;40.0;1;40;1.9;291.75;290.55;93;8470.0;0;;;;1;150.0;;;;101600.0;;;580.0;;;;;290.65;;;2.4;2.6;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;;150.0;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;18.600000000000023;;;;;17.5;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;9
07747;2023-09-15T05:00:00+02:00;101520;-90.0;8;310;0.7;291.75;288.85;83;60000.0;0;;;;0;;;;;101000.0;;;-360.0;;;;;291.45;;;1.1;2.0;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;18.600000000000023;;;;;18.30000000000001;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;9
07747;2023-09-16T08:00:00+02:00;101070;0.0;5;20;1.5;291.75;289.75;88;60000.0;0;;;;3;3960.0;;;;100550.0;;;-400.0;291.65;;294.75;;292.35;;;2.3;4.1;-10.0;1;0.0;;;0.0;0.0;0.0;1.4;2.4;;;;;3.0;;3960.0;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse, puis en hausse, la pression atmosphérique est la même ou plus basse que trois heures auparavant;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;18.600000000000023;18.5;;21.600000000000023;;19.200000000000045;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;9
07747;2023-09-16T11:00:00+02:00;101160;110.0;1;120;5.9;298.95;292.55;68;60000.0;0;;;;3;4020.0;;;;100660.0;;;-280.0;;;;;292.35;;;10.1;10.1;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;2.4;;;;;3.0;;4020.0;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;25.80000000000001;;;;;19.200000000000045;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;9
07747;2023-09-22T08:00:00+02:00;100910;130.0;3;240;2.0;290.65;283.55;63;60000.0;0;;;100.0;8;2250.0;;;;100390.0;;;380.0;290.05;;294.75;;290.15;;;3.4;4.4;-10.0;0;0.0;;;0.0;0.0;0.6;0.6;0.6;;;;;8.0;;2280.0;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;17.5;16.900000000000034;;21.600000000000023;;17.0;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;9
07747;2023-09-22T23:00:00+02:00;101480;240.0;1;300;6.7;291.55;280.05;47;60000.0;0;;;;4;3300.0;;;;100960.0;;;750.0;;;;;290.85;;;12.1;14.1;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.6;;;;;2.0;;3300.0;4.0;;4740.0;;;;;;;42.737167, 2.872833;PERPIGNAN;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;18.400000000000034;;;;;17.700000000000045;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;9
07747;2023-09-28T14:00:00+02:00;101860;-120.0;7;110;3.2;299.65;290.75;58;40570.0;0;;;;0;;;;;101350.0;;;-60.0;;;;;288.25;;;5.4;6.0;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;26.5;;;;;15.100000000000023;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;9
07747;2023-09-29T14:00:00+02:00;102200;-100.0;8;320;4.8;305.15;284.85;29;55960.0;0;;;;0;;;;;101700.0;;;350.0;;;;;289.05;;;8.2;9.6;-10.0;0;0.0;;;0.0;0.0;0.2;0.2;0.2;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;32.0;;;;;15.900000000000034;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;9
07747;2023-09-29T17:00:00+02:00;102080;-120.0;6;90;4.8;305.25;288.75;37;32680.0;0;;;;0;;;;;101580.0;;;300.0;;;;;289.05;;;7.2;7.2;-10.0;0;0.0;;;0.0;0.0;0.0;0.2;0.2;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;32.10000000000002;;;;;15.900000000000034;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;9
07747;2023-09-30T08:00:00+02:00;102330;40.0;3;260;2.4;293.55;287.45;68;60000.0;0;;;;0;;;;;101810.0;;;150.0;293.35;;299.85;;290.85;;;3.6;4.3;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.2;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;20.400000000000034;20.200000000000045;;26.700000000000045;;17.700000000000045;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;9
